x,y,z,yaw,x desired,y desired,z desired,yaw desired,time
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564164.9736199
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.02438
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.08829
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.1310201
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.1729
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.24207
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.2738299
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.3234401
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.3738599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.4274099
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.47297
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.52314
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.5975599
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.64342
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.6736701
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.7233901
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.7729001
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.82303
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.8729701
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.9237399
0.0,0.0,0.0,0.0,1.5,0.0,0.5,-3.1415899999999999,1676564165.97422
-1.0000000000000001e-05,2.0000000000000002e-05,0.067510000000000001,-0.0046100000000000004,1.5,0.0,0.5,-3.1415899999999999,1676564166.02334
-2.0000000000000002e-05,3.0000000000000001e-05,0.072099999999999997,-0.0083199999999999993,1.5,0.0,0.5,-3.1415899999999999,1676564166.0748401
-3.0000000000000001e-05,6.0000000000000002e-05,0.10886999999999999,-0.034299999999999997,1.5,0.0,0.5,-3.1415899999999999,1676564166.12274
0.0,9.0000000000000006e-05,0.15764,-0.075209999999999999,1.5,0.0,0.5,-3.1415899999999999,1676564166.17348
5.0000000000000002e-05,0.0001,0.18920000000000001,-0.10775,1.5,0.0,0.5,-3.1415899999999999,1676564166.22579
0.00011,0.0001,0.22197,-0.14591000000000001,1.5,0.0,0.5,-3.1415899999999999,1676564166.273
0.00020000000000000001,8.0000000000000007e-05,0.25901999999999997,-0.18873000000000001,1.5,0.0,0.5,-3.1415899999999999,1676564166.3237
0.00034000000000000002,5.0000000000000002e-05,0.30331000000000002,-0.25012000000000001,1.5,0.0,0.5,-3.1415899999999999,1676564166.3750501
0.00044000000000000002,1.0000000000000001e-05,0.33179999999999998,-0.29669000000000001,1.5,0.0,0.5,-3.1415899999999999,1676564166.42307
0.00058,-2.0000000000000002e-05,0.36104999999999998,-0.34301999999999999,1.5,0.0,0.5,-3.1415899999999999,1676564166.4826
0.00071000000000000002,-6.0000000000000002e-05,0.38196999999999998,-0.37842999999999999,1.5,0.0,0.5,-3.1415899999999999,1676564166.5405099
0.0010200000000000001,-0.00012999999999999999,0.41708000000000001,-0.43675000000000003,1.5,0.0,0.5,-3.1415899999999999,1676564166.5782399
0.00148,-0.00024000000000000001,0.45216000000000001,-0.50405999999999995,1.5,0.0,0.5,-3.1415899999999999,1676564166.62305
0.0017799999999999999,-0.00032000000000000003,0.46999999999999997,-0.54071000000000002,1.5,0.0,0.5,-3.1415899999999999,1676564166.6736
0.0023800000000000002,-0.00046999999999999999,0.50002000000000002,-0.59921999999999997,1.5,0.0,0.5,-3.1415899999999999,1676564166.7237999
0.00314,-0.00064999999999999997,0.53193000000000001,-0.66132000000000002,1.5,0.0,0.5,-3.1415899999999999,1676564166.82357
0.00314,-0.00064999999999999997,0.53193000000000001,-0.66132000000000002,1.5,0.0,0.5,-3.1415899999999999,1676564166.82393
0.0049800000000000001,-0.00109,0.58570999999999995,-0.77481,1.5,0.0,0.5,-3.1415899999999999,1676564166.8747399
0.0057800000000000004,-0.0012800000000000001,0.59914000000000001,-0.82182999999999995,1.5,0.0,0.5,-3.1415899999999999,1676564166.97422
0.0057800000000000004,-0.0012800000000000001,0.59914000000000001,-0.82182999999999995,1.5,0.0,0.5,-3.1415899999999999,1676564166.9744699
0.0086099999999999996,-0.0018699999999999999,0.64066000000000001,-0.93637000000000004,1.5,0.0,0.5,-3.1415899999999999,1676564167.02476
0.010120000000000001,-0.0021900000000000001,0.65678999999999998,-0.98853000000000002,1.5,0.0,0.5,-3.1415899999999999,1676564167.0741601
0.011610000000000001,-0.00249,0.67549999999999999,-1.0340400000000001,1.5,0.0,0.5,-3.1415899999999999,1676564167.12309
0.01332,-0.0028400000000000001,0.69857000000000002,-1.08175,1.5,0.0,0.5,-3.1415899999999999,1676564167.1872301
0.015089999999999999,-0.0032000000000000002,0.72185999999999995,-1.12693,1.5,0.0,0.5,-3.1415899999999999,1676564167.2241199
